scenario,repetition,seed,dwell_s,detection_latency_s,alert_precision,alert_recall,disposition_accuracy,data_completeness,sequence_gaps,rejection_rate,false_positive_alerts,final_disposition,injection_records_json
S4,4,32430,120.0,1440.0,1.0,1.0,1.0,1.0,0,1.0,6,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}, {""kind"": ""network_outage"", ""injection_ts"": 1735713000.0, ""duration_s"": 2400.0, ""detail"": ""broker unreachable 40 min""}]"
S4,5,32531,120.0,1440.0,1.0,1.0,1.0,1.0,0,1.0,8,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}, {""kind"": ""network_outage"", ""injection_ts"": 1735713000.0, ""duration_s"": 2400.0, ""detail"": ""broker unreachable 40 min""}]"
S4,6,32632,120.0,1350.0,1.0,1.0,1.0,1.0,0,1.0,4,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}, {""kind"": ""network_outage"", ""injection_ts"": 1735713000.0, ""duration_s"": 2400.0, ""detail"": ""broker unreachable 40 min""}]"
S4,7,32733,120.0,1350.0,1.0,1.0,1.0,1.0,0,1.0,6,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}, {""kind"": ""network_outage"", ""injection_ts"": 1735713000.0, ""duration_s"": 2400.0, ""detail"": ""broker unreachable 40 min""}]"
S4,8,32834,120.0,1650.0,1.0,1.0,1.0,1.0,0,1.0,14,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}, {""kind"": ""network_outage"", ""injection_ts"": 1735713000.0, ""duration_s"": 2400.0, ""detail"": ""broker unreachable 40 min""}]"
S4,9,32935,120.0,1320.0,1.0,1.0,1.0,1.0,0,1.0,5,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}, {""kind"": ""network_outage"", ""injection_ts"": 1735713000.0, ""duration_s"": 2400.0, ""detail"": ""broker unreachable 40 min""}]"
S5,0,42026,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,"[{""kind"": ""adversarial"", ""injection_ts"": 1735691400.0, ""duration_s"": null, ""detail"": ""50 forged + 50 replayed frames""}]"
S5,1,42127,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,"[{""kind"": ""adversarial"", ""injection_ts"": 1735691400.0, ""duration_s"": null, ""detail"": ""50 forged + 50 replayed frames""}]"
S5,2,42228,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,"[{""kind"": ""adversarial"", ""injection_ts"": 1735691400.0, ""duration_s"": null, ""detail"": ""50 forged + 50 replayed frames""}]"
S5,3,42329,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,"[{""kind"": ""adversarial"", ""injection_ts"": 1735691400.0, ""duration_s"": null, ""detail"": ""50 forged + 50 replayed frames""}]"
S5,4,42430,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,"[{""kind"": ""adversarial"", ""injection_ts"": 1735691400.0, ""duration_s"": null, ""detail"": ""50 forged + 50 replayed frames""}]"
S5,5,42531,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,"[{""kind"": ""adversarial"", ""injection_ts"": 1735691400.0, ""duration_s"": null, ""detail"": ""50 forged + 50 replayed frames""}]"
S5,6,42632,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,"[{""kind"": ""adversarial"", ""injection_ts"": 1735691400.0, ""duration_s"": null, ""detail"": ""50 forged + 50 replayed frames""}]"
S5,7,42733,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,"[{""kind"": ""adversarial"", ""injection_ts"": 1735691400.0, ""duration_s"": null, ""detail"": ""50 forged + 50 replayed frames""}]"
S5,8,42834,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,"[{""kind"": ""adversarial"", ""injection_ts"": 1735691400.0, ""duration_s"": null, ""detail"": ""50 forged + 50 replayed frames""}]"
S5,9,42935,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,"[{""kind"": ""adversarial"", ""injection_ts"": 1735691400.0, ""duration_s"": null, ""detail"": ""50 forged + 50 replayed frames""}]"
